Best L-test value: 7.60989871732

Latitude and longitude: 22.9038, 120.4642; model output: 0.109342872179
Latitude and longitude not available, model output: 0.00124725524636
Latitude and longitude not available, model output: 0.808599985777
Latitude and longitude not available, model output: 0.267418711478
Latitude and longitude not available, model output: 0.028263508477
Latitude and longitude not available, model output: 0.604060644992
Latitude and longitude not available, model output: 0.563772583128
Latitude and longitude not available, model output: 0.788746040144
Latitude and longitude not available, model output: 0.555499029569
Latitude and longitude not available, model output: 0.858326390512
Latitude and longitude not available, model output: 0.251571281114
Latitude and longitude not available, model output: 0.935775330169
Latitude and longitude not available, model output: 0.815808224323
Latitude and longitude not available, model output: 0.32858615549
Latitude and longitude not available, model output: 0.277125695531
Latitude and longitude not available, model output: 0.421648344802
Latitude and longitude not available, model output: 0.142709876336
Latitude and longitude not available, model output: 0.414548659995
Latitude and longitude not available, model output: 0.97480289198
Latitude and longitude not available, model output: 0.973628050456
Latitude and longitude not available, model output: 0.379970089971
Latitude and longitude not available, model output: 0.0696219457076
Latitude and longitude not available, model output: 0.966955916468
Latitude and longitude not available, model output: 0.780620660733
Latitude and longitude not available, model output: 0.232924831462
Latitude and longitude not available, model output: 0.62682152753
Latitude and longitude not available, model output: 0.951517465483
Latitude and longitude not available, model output: 0.378840764016
Latitude and longitude not available, model output: 0.224904327564
Latitude and longitude not available, model output: 0.401790654569
Latitude and longitude not available, model output: 0.583227307287
Latitude and longitude not available, model output: 0.769025361873
Latitude and longitude not available, model output: 0.125676135302
Latitude and longitude not available, model output: 0.768888853039
Latitude and longitude not available, model output: 0.202734037552
Latitude and longitude not available, model output: 0.581820150547
Latitude and longitude not available, model output: 0.614342092809
Latitude and longitude not available, model output: 0.395497328011
Latitude and longitude not available, model output: 0.473166344425
Latitude and longitude not available, model output: 0.994671285504
Latitude and longitude not available, model output: 0.515011655804
Latitude and longitude not available, model output: 0.326969706879
Latitude and longitude not available, model output: 0.526978626058
Latitude and longitude not available, model output: 0.114940336405
Latitude and longitude not available, model output: 0.679847960784
Latitude and longitude not available, model output: 0.210328661194
Latitude and longitude not available, model output: 0.422660684041
Latitude and longitude not available, model output: 0.526934276961
Latitude and longitude not available, model output: 0.696862599974
Latitude and longitude not available, model output: 0.385313835978
Latitude and longitude not available, model output: 0.400676788267
Latitude and longitude not available, model output: 0.530531948229
Latitude and longitude not available, model output: 0.561472900014
Latitude and longitude not available, model output: 0.516903651367
Latitude and longitude not available, model output: 0.876464550306
Latitude and longitude not available, model output: 0.249398404995
Latitude and longitude not available, model output: 0.248628418855
Latitude and longitude not available, model output: 0.562109983879
Latitude and longitude not available, model output: 0.772945419421
Latitude and longitude not available, model output: 0.511005743449
Latitude and longitude not available, model output: 0.0542943738709
Latitude and longitude not available, model output: 0.382181552995
Latitude and longitude not available, model output: 0.307710063723
Latitude and longitude not available, model output: 0.529149256558
Latitude and longitude not available, model output: 0.918320378299
Latitude and longitude not available, model output: 0.469230107348
Latitude and longitude not available, model output: 0.362311630184
Latitude and longitude not available, model output: 0.665648245005
Latitude and longitude not available, model output: 0.663135278097
Latitude and longitude not available, model output: 0.248144487317
Latitude and longitude not available, model output: 0.282359280551
Latitude and longitude not available, model output: 0.474161052548
Latitude and longitude not available, model output: 0.0316243367614
Latitude and longitude not available, model output: 0.66772137608
Latitude and longitude not available, model output: 0.777549464269
Latitude and longitude not available, model output: 0.112510285282
Latitude and longitude not available, model output: 0.995884695551
Latitude and longitude not available, model output: 0.446398302955
Latitude and longitude not available, model output: 0.56619726284
Latitude and longitude not available, model output: 0.869695225093
Latitude and longitude not available, model output: 0.000949907968573
Latitude and longitude not available, model output: 0.879228204673
Latitude and longitude not available, model output: 0.314393432627
Latitude and longitude not available, model output: 0.631899914041
Latitude and longitude not available, model output: 0.171729934777
Latitude and longitude not available, model output: 0.522472239077
Latitude and longitude not available, model output: 0.691935817687
Latitude and longitude not available, model output: 0.984900272172
Latitude and longitude not available, model output: 0.166834722501
Latitude and longitude not available, model output: 0.000108563394164
Latitude and longitude not available, model output: 0.437071326915
Latitude and longitude not available, model output: 0.702823172252
Latitude and longitude not available, model output: 0.422709744389
Latitude and longitude not available, model output: 0.287443951393
Latitude and longitude not available, model output: 0.488559297543
Latitude and longitude not available, model output: 0.413955510253
Latitude and longitude not available, model output: 0.521275134643
Latitude and longitude not available, model output: 0.130473325089
Latitude and longitude not available, model output: 0.0407930959536
